program,source_page,source_sha256,source_recovery,translation,numeric_qa,korean_review,visual_qa,target_pages,reviewer,notes
dynasty,1,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_recovery,not_started,not_started,not_started,not_started,,,
dynasty,2,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_recovery,not_started,not_started,not_started,not_started,,,
dynasty,3,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,4,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,5,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,6,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,7,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,8,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,9,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,10,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,11,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,12,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,13,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,14,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,15,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,16,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,17,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,18,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,19,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,20,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,21,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,22,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,23,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,24,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,25,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,26,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,27,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,28,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,29,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,30,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,31,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,32,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,33,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,34,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,35,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,36,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,37,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,38,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,39,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,40,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,41,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,42,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,43,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,44,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
